poiName,count,rating,uniqueCars,avgDistance,minDistance,maxDistance,latitude,longitude,latitudesOfSearcher,longitudesOfSearcher,clickTimes
부산역 KTX,67,75,8,322.91,302.41,328.49,35.11515512,129.0413651,"37.540697,37.540697,37.5552093,37.5224482,37.5174764,37.5346026,37.492471,37.4729956,37.4592214,37.4386248,37.431323,37.3479361,37.3447363,37.5553481,37.5204981,37.5047812,37.5584184,37.5216674,37.5553702,37.5551568,37.5551568,37.5174764,37.5204412,37.5199741,37.5199741,37.517795,37.5267191,37.5403878,37.5284232,37.5434872,37.5580198,37.5551988,37.5552093,37.5362302,37.5182034,37.3755825,37.5369866,37.4772951,37.4729956,37.4654228,37.3495381,37.3407735,37.5553481,37.5067356,37.5584251,37.5061944,37.5584184,37.5174762,37.5188552,37.5247771,37.5174764,37.5197415,37.5372629,37.5210254,37.5176857,37.5176819,37.5553515,37.5229261,37.5321806,37.5403878,37.5348601,37.5335025,37.5393952,37.5185008,37.5163718,37.3782773,37.5553062","126.9716962,126.9716962,126.9738699,127.0165737,126.929144,127.0067573,127.0225357,127.0307565,127.043808,127.0614916,127.0687663,127.10328,127.1033045,126.9739107,126.9339282,126.9779082,126.9812751,126.935798,127.1763709,126.9739222,126.9739222,126.929144,126.9408126,126.9409415,126.9409415,126.93722,127.0051521,127.0195569,127.0887172,127.1070476,127.1143667,126.9739564,126.9738699,127.0054291,126.992169,127.1031196,127.0049141,127.0281966,127.0307565,127.0379433,127.1032697,127.1033314,126.9739107,126.9725572,126.9812908,126.9900841,126.9812751,126.9291438,126.9312289,126.9414265,126.929144,126.932659,127.0047103,126.9348548,126.9365737,126.9378894,126.9740703,126.9379385,127.0132247,127.0195569,127.0538604,127.0586967,127.1019084,126.9314645,126.9281709,127.1030983,126.9741449","1623046376903,1623046468854,1623113495693,1623129956354,1623132496252,1623141997751,1623142383768,1623142699505,1623143176378,1623143519060,1623143606041,1623144547573,1623144650890,1623145967034,1623199932898,1623200532858,1623202567154,1623202812457,1623207292766,1623212956832,1623213257024,1623229640621,1623229740906,1623229763872,1623229831127,1623230151025,1623300346021,1623300535577,1623301319794,1623301643289,1623301804692,1623372048006,1623115621064,1623122256251,1623132690304,1623134365444,1623141924950,1623142608756,1623142668092,1623142791539,1623144308108,1623144718329,1623146198904,1623200385295,1623201211653,1623201358744,1623202627553,1623202724806,1623202760522,1623202878122,1623205408227,1623205479417,1623207367518,1623229679791,1623230226639,1623230246044,1623287414363,1623295647861,1623300436850,1623300551658,1623300817453,1623300897374,1623301443182,1623301901808,1623301947769,1623304265525,1623396361660"
경포해수욕장,72,74,2,174.71,171.65,177.03,37.8064585,128.9069455,"37.5174814,37.5174962,37.5175037,37.5553395,37.5553686,37.5583374,37.5584437,37.5584437,37.5553481,37.5553481,37.5174908,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5551979,37.5551979,37.5583596,37.5583429,37.5174999,37.5583771,37.5583874,37.5583923,37.5551988,37.5174779,37.5174715,37.5174679,37.5175017,37.5175002,37.5174707,37.5175034,37.5175034,37.5175027,37.5553395,37.5553395,37.5583526,37.5583526,37.5583526,37.5584538,37.5584437,37.5584437,37.5175014,37.5553481,37.5553481,37.5553481,37.5553481,37.5174874,37.5175038,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5551979,37.5583429,37.5583429,37.5583409,37.558354,37.5174884,37.5174874,37.5175013,37.517499,37.5583771,37.5174679,37.5174679,37.5174679","126.9291349,126.9291381,126.9291529,126.9741033,126.9741102,126.9814922,126.9813374,126.9813374,126.9739107,126.9739107,126.9291784,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9739994,126.9739994,126.9814477,126.981452,126.9291704,126.9817319,126.9815792,126.9815649,126.9739564,126.929136,126.9291424,126.9291532,126.9291678,126.9291706,126.9291688,126.9291512,126.9291514,126.9291486,126.9741033,126.9741033,126.981474,126.981474,126.981474,126.9813353,126.9813374,126.9813374,126.9291453,126.9739107,126.9739107,126.9739107,126.9739107,126.9291791,126.9291572,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9739994,126.981452,126.981452,126.981422,126.9813957,126.9291788,126.9291339,126.9291452,126.9291717,126.9817319,126.9291532,126.9291532,126.9291532","1623045534341,1623058237467,1623058422532,1623128309431,1623131478767,1623132402769,1623134042049,1623134303389,1623145477077,1623145746778,1623201406879,1623206910071,1623214774544,1623214946418,1623215542924,1623217252670,1623217463848,1623219135648,1623287173562,1623287440587,1623289120155,1623289574788,1623294856640,1623298171993,1623298281072,1623298819854,1623301493622,1623301824491,1623303777789,1623315199249,1623049240044,1623049306000,1623058045249,1623115934393,1623115969971,1623122621209,1623127625457,1623128119729,1623133355895,1623133460691,1623133515770,1623133650869,1623134064358,1623134347195,1623136827209,1623145027718,1623145293514,1623145631942,1623145909651,1623201521790,1623201618337,1623205603987,1623207037755,1623207553576,1623214819701,1623215662319,1623215830806,1623217270155,1623217509490,1623287322337,1623289634317,1623289723450,1623291295935,1623292193273,1623293804778,1623294202198,1623294273438,1623294375008,1623298220942,1623314205407,1623314291741,1623315116744"
대전역 KTX,18,21,3,138.45,126.98,142.41,36.33231282,127.4341759,"37.4379119,37.5175015,37.5400614,37.5369866,37.5553481,37.5553481,37.5553481,37.5049262,37.5187167,37.5173388,37.518114,37.5214236,37.5216675,37.5174764,37.5507465,37.5159761,37.5056566,37.498188","127.076566,126.9291748,126.9010297,127.0049141,126.9739107,126.9739107,126.9739107,126.9840121,126.9310056,126.933954,126.9392247,127.0628727,126.9357983,126.929144,127.1113829,126.9406837,126.9715591,126.9929547",###############################################################################################################################################################################################################################################################
롯데월드,12,13,1,13.53,6.87,17.66,37.51109834,127.0981797,"37.5602851,37.5174764,37.5404714,37.5174764,37.5748522,37.5962234,37.5467548,37.4263143,37.5174764,37.5174764,37.5191633,37.5174764","126.9398718,126.929144,126.9013489,126.929144,126.970265,127.0406226,127.0346236,127.0938705,126.929144,126.929144,126.9312499,126.929144","162,304,710,405,016,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
더현대서울,7,9,2,183.37,5.17,327.25,37.52566416,126.9287281,"35.17448,37.5551988,37.5551988,35.4678418,35.2644973,35.2879141,37.5551988","129.1270165,126.9739564,126.9739564,129.2213454,129.1057213,129.099029,126.9739564","1,623,291,241,446,160,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
샛강역3번출구,6,7,1,0.01,0.01,0.01,37.51739164,126.9291861,"37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679","126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532","162,320,734,359,416,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
문화비축기지,4,6,2,7.13,6.72,7.83,37.57109726,126.8940452,"37.5174679,37.5174701,37.5553395,37.5583409","126.9291558,126.9291458,126.9741033,126.981422","1,623,058,119,249,160,000,000,000,000,000,000,000,000,000,000,000,000"
경기광주TG,5,6,1,17.51,6.14,28.47,37.44633389,127.2661408,"37.5676099,37.5149147,37.4959806,37.5553222,37.5553222","127.169838,127.2228825,127.2357077,126.9740977,126.9740977","16,232,902,316,351,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
경포대,5,6,1,175.93,175.93,175.93,37.7950716,128.8966532,"37.5174679,37.5174679,37.5174991,37.5174679,37.5174679","126.9291532,126.9291532,126.9291715,126.9291532,126.9291532","16,233,710,268,441,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
고양휴게소 파주방향,3,5,2,14.09,13.64,14.31,37.63077071,126.8520161,"37.5175074,37.5175074,37.5551978","126.9291554,126.9291554,126.9739542","162,304,877,344,916,000,000,000,000,000,000,000,000"
